"","id","Year","Value"
"632.1980",632,1980,6014
"531.1980",531,1980,2000
"522.1980",522,1980,250
"525.1980",525,1980,900
"523.1980",523,1980,0
"524.1980",524,1980,10
"520.1980",520,1980,1750
"521.1980",521,1980,0
"629.1980",629,1980,15
"11049.1980",11049,1980,401
"5085.1980",5085,1980,0.9
"5086.1980",5086,1980,2.6
"627.1980",627,1980,17
"2356.1980",2356,1980,1
"6166.1980",6166,1980,0
"5087.1980",5087,1980,1.5
"11281.1980",11281,1980,4
"11282.1980",11282,1980,3
"604.1980",604,1980,18
"11283.1980",11283,1980,3
"5895.1980",5895,1980,0.08
"5894.1980",5894,1980,0.17
"5896.1980",5896,1980,0.05
"5893.1980",5893,1980,0.33
"5898.1980",5898,1980,8
"5817.1980",5817,1980,90
"11279.1981",11279,1981,10
"11280.1981",11280,1981,32
"4955.1981",4955,1981,22
"11277.1981",11277,1981,62
"3485.1981",3485,1981,16
"4916.1981",4916,1981,99
"3480.1981",3480,1981,0.81
"5373.1981",5373,1981,1.75
"8147.1981",8147,1981,0.5
"28.1981",28,1981,38
"4914.1981",4914,1981,175
"128.1981",128,1981,41
"3479.1981",3479,1981,2.1
"117.1981",117,1981,18
"5814.1981",5814,1981,24
"5815.1981",5815,1981,80
"5816.1981",5816,1981,51
"5090.1981",5090,1981,1.7
"5089.1981",5089,1981,0.4
"632.1981",632,1981,6260
"10781.1981",10781,1981,16
"2356.1981",2356,1981,1
"6166.1981",6166,1981,2.5
"3421.1981",3421,1981,1.7
"3488.1981",3488,1981,4.1
"5087.1981",5087,1981,2.8
"5088.1981",5088,1981,0.6
"11281.1981",11281,1981,4
"11282.1981",11282,1981,4
"604.1981",604,1981,19
"11283.1981",11283,1981,4
"5817.1981",5817,1981,80
"10780.1981",10780,1981,12
"11279.1982",11279,1982,11
"11280.1982",11280,1982,34
"4955.1982",4955,1982,22
"11277.1982",11277,1982,67
"3485.1982",3485,1982,13
"4633.1982",4633,1982,4.1
"4916.1982",4916,1982,105
"3480.1982",3480,1982,0.97
"3478.1982",3478,1982,82
"5373.1982",5373,1982,1.84
"8147.1982",8147,1982,0.55
"28.1982",28,1982,43
"4914.1982",4914,1982,179
"128.1982",128,1982,42
"3479.1982",3479,1982,2.6
"117.1982",117,1982,16
"5814.1982",5814,1982,5
"5815.1982",5815,1982,111
"5816.1982",5816,1982,67
"632.1982",632,1982,6342
"631.1982",631,1982,70
"10781.1982",10781,1982,15
"4626.1982",4626,1982,9
"627.1982",627,1982,35
"2356.1982",2356,1982,5
"6166.1982",6166,1982,9.5
"11281.1982",11281,1982,4
"11282.1982",11282,1982,4
"604.1982",604,1982,18
"11283.1982",11283,1982,4
"5817.1982",5817,1982,115
"10780.1982",10780,1982,12
"11279.1983",11279,1983,10
"11280.1983",11280,1983,36
"4955.1983",4955,1983,15
"11277.1983",11277,1983,80
"3485.1983",3485,1983,12
"4633.1983",4633,1983,9.9
"4916.1983",4916,1983,115
"127.1983",127,1983,122
"3480.1983",3480,1983,0.29
"3478.1983",3478,1983,67
"5373.1983",5373,1983,1.12
"8147.1983",8147,1983,0.45
"28.1983",28,1983,44
"4914.1983",4914,1983,181
"128.1983",128,1983,42
"117.1983",117,1983,19
"5814.1983",5814,1983,0
"5815.1983",5815,1983,0
"5816.1983",5816,1983,4
"632.1983",632,1983,6534
"10781.1983",10781,1983,15
"4626.1983",4626,1983,9.5
"627.1983",627,1983,39
"2356.1983",2356,1983,0.01
"6166.1983",6166,1983,6
"11281.1983",11281,1983,2
"11282.1983",11282,1983,4
"604.1983",604,1983,16
"11283.1983",11283,1983,4
"5817.1983",5817,1983,120
"10780.1983",10780,1983,12
"11483.1984",11483,1984,18.44
"4955.1984",4955,1984,23
"230.1984",230,1984,201
"42.1984",42,1984,0.35
"3485.1984",3485,1984,13
"4633.1984",4633,1984,6.5
"4916.1984",4916,1984,77
"3480.1984",3480,1984,0.93
"3478.1984",3478,1984,47
"5373.1984",5373,1984,1.46
"8147.1984",8147,1984,0.5
"28.1984",28,1984,44
"4914.1984",4914,1984,229
"128.1984",128,1984,41
"117.1984",117,1984,28
"5814.1984",5814,1984,25
"5815.1984",5815,1984,0
"5816.1984",5816,1984,0
"632.1984",632,1984,6713
"591.1984",591,1984,700
"234.1984",234,1984,4005
"10781.1984",10781,1984,15
"4626.1984",4626,1984,10
"5085.1984",5085,1984,0.25
"5086.1984",5086,1984,1.8
"2356.1984",2356,1984,3
"6166.1984",6166,1984,3
"5087.1984",5087,1984,2
"5088.1984",5088,1984,0.5
"604.1984",604,1984,22
"29.1984",29,1984,25000
"5817.1984",5817,1984,130
"10780.1984",10780,1984,13
"11483.1985",11483,1985,12.03
"13287.1985",13287,1985,6
"598.1985",598,1985,35
"637.1985",637,1985,31
"4955.1985",4955,1985,20
"228.1985",228,1985,191
"229.1985",229,1985,239
"3485.1985",3485,1985,10
"4633.1985",4633,1985,5.1
"4916.1985",4916,1985,80
"3480.1985",3480,1985,0.69
"3478.1985",3478,1985,57
