Tag,id,Citation_trim,Citation,Class,Order,Family,Genus,Species,SubSpecies,Authority,CommonName,Estimated_area_num,Estimated_area_cat,Units,PopulationLocation,CountryList,Region,DecimalLatitude,DecimalLongitude,SpecificCoordinate,system,biome,realm,Native,Alien,Invasive,Units,SamplingMethod,DataTransformed
NA,22824,"BC Fish & Wildlife Branch (2017). British Columbia Ungulate Species Regional Population Estimates and Status - Preseason data. Victoria, British Columbia, British Columbia Conservation Data Centre.",,Mammalia,Carnivora,Felidae,Puma,concolor,,"(Linnaeus, 1771)",Mountain lion / Puma / Cougar,400,NA,km2,"West Kootenay, British Columbia",Canada,North America,49.40409,-118.94213,TRUE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Estimated number of individuals,Aerial survey,No
NA,22843,"BC Fish & Wildlife Branch (2017). British Columbia Ungulate Species Regional Population Estimates and Status - Preseason data. Victoria, British Columbia, British Columbia Conservation Data Centre.",,Mammalia,Carnivora,Ursidae,Ursus,americanus,,"Pallas, 1780",American black bear,400,NA,km2,"West Kootenay, British Columbia",Canada,North America,49.40409,-118.94213,TRUE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Estimated number of individuals,Aerial survey,No
NA,22854,"BC Fish & Wildlife Branch (2017). British Columbia Ungulate Species Regional Population Estimates and Status - Preseason data. Victoria, British Columbia, British Columbia Conservation Data Centre.",,Mammalia,Carnivora,Ursidae,Ursus,arctos,horribilis,"Linnaeus, 1758",Grizzly bear / Brown bear,400,NA,km2,"West Kootenay, British Columbia",Canada,North America,49.40409,-118.94213,TRUE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Estimated number of individuals,Aerial survey,No
NA,11010,A monitoring program for the amur tiger: Thirteenth-year report 1998-2010," Wildlife Conservation Society, R. F. E. P. (2010). A monitoring program for the amur tiger: Thirteenth-year report 1998-2010. E. I. Nikolaeva, Wildlife Conservation Society: 1-25.",Mammalia,Carnivora,Felidae,Panthera,tigris,altaica,"Hilzheimer, 1905",Tiger,404.3,NA,km2,"Ussurisk Zapovednik, Russian Far East",Russian Federation,Asia,43.76667,132.06667,TRUE,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,Yes,No,No,Number of independent tigers,Expert assessment based on tiger tracks,No
NA,11021,A monitoring program for the amur tiger: Thirteenth-year report 1998-2010," Wildlife Conservation Society, R. F. E. P. (2010). A monitoring program for the amur tiger: Thirteenth-year report 1998-2010. E. I. Nikolaeva, Wildlife Conservation Society: 1-25.",Mammalia,Carnivora,Felidae,Panthera,tigris,altaica,"Hilzheimer, 1905",Tiger,404.3,NA,km2,"Ussuriski Raion, Russian Far East",Russian Federation,Asia,43.68333,132.18333,TRUE,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,Yes,No,No,Number of independent tigers,Expert assessment based on tiger tracks,No
NA,5813,Monitoring Mammal Populations in Costa Rican Protected Areas under Different Hunting Restrictions,"Carrillo, E., G. Wong, et al. (2000). Monitoring Mammal Populations in Costa Rican Protected Areas under Different Hunting Restrictions."" Conservation Biology 14(6): 1580-1591.""",Mammalia,Carnivora,Felidae,Panthera,onca,,"(Linnaeus, 1758)",Jaguar,418,NA,km2,"Corcovado National Park (418 km2), Osa Peninsula, southwestern Costa Rica.",Costa Rica,Latin America and Caribbean,8.55,-83.58333,FALSE,Terrestrial,Tropical and subtropical moist broadleaf forests,Neotropical,Yes,No,No,Tracks/Km,Transect survey,No
NA,5899,Monitoring Mammal Populations in Costa Rican Protected Areas under Different Hunting Restrictions," Carrillo, E., G. Wong, et al. (2000). Monitoring Mammal Populations in Costa Rican Protected Areas under Different Hunting Restrictions."" Conservation Biology 14(6): 1580-1591.""",Mammalia,Carnivora,Felidae,Puma,concolor,,"(Linnaeus, 1771)",Mountain lion / Puma / Cougar,418,NA,km2,"Corcovado National Park (418 km2), Osa Peninsula, southwestern Costa Rica.",Costa Rica,Latin America and Caribbean,8.55,-83.58333,FALSE,Terrestrial,Tropical and subtropical moist broadleaf forests,Neotropical,Yes,No,No,Tracks/Km,Transect survey,No
NA,5901,Monitoring Mammal Populations in Costa Rican Protected Areas under Different Hunting Restrictions," Carrillo, E., G. Wong, et al. (2000). Monitoring Mammal Populations in Costa Rican Protected Areas under Different Hunting Restrictions."" Conservation Biology 14(6): 1580-1591.""",Mammalia,Carnivora,Felidae,Leopardus,pardalis,,"(Linnaeus, 1758)",Ocelot,418,NA,km2,"Corcovado National Park (418 km2), Osa Peninsula, southwestern Costa Rica.",Costa Rica,Latin America and Caribbean,8.55,-83.58333,FALSE,Terrestrial,Tropical and subtropical moist broadleaf forests,Neotropical,Yes,No,No,Tracks/Km,Transect survey,No
NA,5902,Monitoring Mammal Populations in Costa Rican Protected Areas under Different Hunting Restrictions," Carrillo, E., G. Wong, et al. (2000). Monitoring Mammal Populations in Costa Rican Protected Areas under Different Hunting Restrictions."" Conservation Biology 14(6): 1580-1591.""",Mammalia,Carnivora,Felidae,Leopardus,wiedii,,"(Schinz, 1821)",Margay,418,NA,km2,"Corcovado National Park (418 km2), Osa Peninsula, southwestern Costa Rica.",Costa Rica,Latin America and Caribbean,8.55,-83.58333,FALSE,Terrestrial,Tropical and subtropical moist broadleaf forests,Neotropical,Yes,No,No,Tracks/Km,Transect survey,No
NA,11031,"Status of the Tigers, Co-predators, and Prey in India, 2010"," National Tiger Conservation Authority (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. Y. V. Jhala, Q. Qureshi, R. Gopal and P. R. Sinha, Wildlife Institute of India: 1-169.",Mammalia,Carnivora,Felidae,Panthera,tigris,tigris,"Hilzheimer, 1905",Tiger,452,NA,km2,"Suhelwa, Uttar Pradesh, India",India,Asia,27.75,82.05,TRUE,Terrestrial,Tropical and subtropical moist broadleaf forests,Indo-Malayan,Yes,No,No,Tiger abundance,Sign and encounter rates and mark-recapture based on camera trapping,No
